id_full;island;id;morph;chela;chela_id
AR_121_HO_left;RA;121;HO;left;one
AR_126_HO_left;RA;126;HO;left;one
AR_124_HO_left;RA;124;HO;left;two
AR_129_HO_left;RA;129;HO;left;one
AR_128_HO_left;RA;128;HO;left;two
AR_131_HO_left;RA;131;HO;left;two
AR_134_HO_left;RA;134;HO;left;one
AR_176_HO_left;RA;176;HO;left;one
AR_180_HO_left;RA;180;HO;left;one
AR_179_HO_left;RA;179;HO;left;one
AR_182_HO_left;RA;182;HO;left;one
AR_87_HO_right;RA;87;HO;right;one
AR_88_HO_right;RA;88;HO;right;two
AR_89_HO_right;RA;89;HO;right;two
AR_118_HO_right;RA;118;HO;right;one
AR_115_HO_right;RA;115;HO;right;one
AR_116_HO_right;RA;116;HO;right;two
AR_117_HO_right;RA;117;HO;right;one
AR_122_HO_right;RA;122;HO;right;two
AR_119_HO_right;RA;119;HO;right;one
AR_120_HO_right;RA;120;HO;right;two
AR_121_HO_right;RA;121;HO;right;two
AR_126_HO_right;RA;126;HO;right;two
AR_124_HO_right;RA;124;HO;right;one
AR_129_HO_right;RA;129;HO;right;two
AR_128_HO_right;RA;128;HO;right;one
AR_131_HO_right;RA;131;HO;right;one
AR_134_HO_right;RA;134;HO;right;two
AR_176_HO_right;RA;176;HO;right;two
AR_180_HO_right;RA;180;HO;right;two
AR_179_HO_right;RA;179;HO;right;two
AR_182_HO_right;RA;182;HO;right;two
FN_04_HE_large;FN;4;HE;large;one
FN_05_HE_large;FN;5;HE;large;two
FN_09_HE_large;FN;9;HE;large;one
FN_10_HE_large;FN;10;HE;large;two
FN_19_HE_large;FN;19;HE;large;two
FN_20_HE_large;FN;20;HE;large;two
FN_21_HE_large;FN;21;HE;large;one
FN_22_HE_large;FN;22;HE;large;one
FN_23_HE_large;FN;23;HE;large;two
FN_25_HE_large;FN;25;HE;large;two
FN_26_HE_large;FN;26;HE;large;one
FN_30_HE_large;FN;30;HE;large;two
FN_31_HE_large;FN;31;HE;large;one
FN_32_HE_large;FN;32;HE;large;one
FN_33_HE_large;FN;33;HE;large;two
FN_37_HE_large;FN;37;HE;large;two
FN_34_HE_large;FN;34;HE;large;two
FN_35_HE_large;FN;35;HE;large;two
FN_39_HE_large;FN;39;HE;large;two
FN_41_HE_large;FN;41;HE;large;two
FN_04_HE_small;FN;4;HE;small;two
FN_05_HE_small;FN;5;HE;small;one
FN_09_HE_small;FN;9;HE;small;two
FN_10_HE_small;FN;10;HE;small;one
FN_19_HE_small;FN;19;HE;small;one
FN_20_HE_small;FN;20;HE;small;one
FN_21_HE_small;FN;21;HE;small;two
FN_22_HE_small;FN;22;HE;small;two
FN_23_HE_small;FN;23;HE;small;one
FN_25_HE_small;FN;25;HE;small;one
FN_26_HE_small;FN;26;HE;small;two
FN_30_HE_small;FN;30;HE;small;one
FN_31_HE_small;FN;31;HE;small;two
FN_32_HE_small;FN;32;HE;small;two
FN_33_HE_small;FN;33;HE;small;one
FN_37_HE_small;FN;37;HE;small;one
FN_34_HE_small;FN;34;HE;small;one
FN_35_HE_small;FN;35;HE;small;one
FN_39_HE_small;FN;39;HE;small;one
FN_41_HE_small;FN;41;HE;small;one
FN_02_HO_left;FN;2;HO;left;one
FN_06_HO_left;FN;6;HO;left;one
FN_17_HO_left;FN;17;HO;left;one
FN_12_HO_left;FN;12;HO;left;two
FN_13_HO_left;FN;13;HO;left;two
FN_14_HO_left;FN;14;HO;left;one
FN_24_HO_left;FN;24;HO;left;one
FN_38_HO_left;FN;38;HO;left;two
FN_40_HO_left;FN;40;HO;left;one
FN_44_HO_left;FN;44;HO;left;two
FN_46_HO_left;FN;46;HO;left;one
FN_51_HO_left;FN;51;HO;left;one
FN_53_HO_left;FN;53;HO;left;two
FN_55_HO_left;FN;55;HO;left;two
FN_58_HO_left;FN;58;HO;left;one
FN_59_HO_left;FN;59;HO;left;one
FN_61_HO_left;FN;61;HO;left;one
FN_67_HO_left;FN;67;HO;left;two
FN_66_HO_left;FN;66;HO;left;two
FN_69_HO_left;FN;69;HO;left;two
FN_83_HO_left;FN;83;HO;left;one
FN_85_HO_left;FN;85;HO;left;one
FN_88_HO_left;FN;88;HO;left;one
FN_02_HO_right;FN;2;HO;right;two
FN_06_HO_right;FN;6;HO;right;two
FN_12_HO_right;FN;12;HO;right;one
FN_13_HO_right;FN;13;HO;right;one
FN_14_HO_right;FN;14;HO;right;two
FN_17_HO_right;FN;17;HO;right;two
FN_24_HO_right;FN;24;HO;right;two
FN_38_HO_right;FN;38;HO;right;one
FN_40_HO_right;FN;40;HO;right;two
FN_44_HO_right;FN;44;HO;right;one
FN_46_HO_right;FN;46;HO;right;two
FN_51_HO_right;FN;51;HO;right;two
FN_53_HO_right;FN;53;HO;right;one
FN_55_HO_right;FN;55;HO;right;one
FN_58_HO_right;FN;58;HO;right;two
